formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
volume_base_breakout,case_301511_broad,301459,fixed_15,15,9,0.777778,0.098478,-0.076922,1.280225,0.111111,0.000000,72.155917,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,default,301468,fixed_30,30,41,0.536585,0.064727,-0.134078,0.482755,0.000000,0.000000,63.511335,{}
gs_pullback_confirm,loose,301468,fixed_5,5,6,0.333333,-0.080200,-0.136667,-0.586829,0.000000,0.000000,-2.272309,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
gs_raw_buy,wide_band_cooldown,301468,formula_exit_or_30,30,21,0.428571,0.070233,-0.029043,2.418265,0.000000,0.000000,69.948469,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
ma_base_breakout,strict_120_180,301468,fixed_30,30,1,1.000000,0.010200,-0.061600,0.165584,0.000000,0.000000,41.506781,"{""below_days_min"": 60, ""long_ma"": 180, ""ma5_rising_min"": 10, ""mid_ma"": 120, ""price_top_buffer"": 1.03, ""short_ma"": 8}"
volume_base_breakout,strict_two_month_box,301468,fixed_60,60,2,1.000000,0.738200,-0.055250,13.361086,0.000000,0.000000,83.842282,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
activity_breakout,default,301469,fixed_10,10,43,0.395349,-0.019056,-0.083460,-0.228321,0.023256,0.000000,20.958393,{}
gs_pullback_confirm,default,301469,fixed_60,60,4,1.000000,0.025800,-0.087225,0.295787,0.000000,0.000000,57.332643,{}
gs_raw_buy,fast_x3_cooldown,301469,fixed_5,5,31,0.580645,0.010206,-0.038203,0.267162,0.032258,0.000000,43.535810,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
volume_base_breakout,case_301511_broad,301469,fixed_60,60,27,0.740741,0.045207,-0.128233,0.352540,0.037037,0.000000,66.218257,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
