stock_code,formula_id,merge_decision,merge_reason,old_variant_id,new_variant_id,old_sell_rule,new_sell_rule,old_score,new_score,score_delta,old_validation_score,new_validation_score,validation_score_delta,new_signal_count,new_validation_signal_count,new_win_rate,new_validation_win_rate,new_avg_ret,new_validation_avg_ret,trials,validation_ratio,replacement_params
600692,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,fixed_60,fixed_60,31.165575,64.563913,33.398338,23.346578,43.345042,19.998463,43,13,0.581395,0.538462,0.050728,0.013292,24,0.300000,"{""big_bull_line"": 5.5, ""max_close_ret"": 10.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 12, ""strong_line"": 4.0, ""x15_multiplier"": 1.8}"
301255,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,formula_exit_or_15,fixed_5,54.712466,88.076923,33.364457,31.159360,58.336562,27.177202,13,4,0.769231,0.750000,0.073685,0.035275,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 9.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 11, ""strong_line"": 2.5, ""x15_multiplier"": 1.0}"
688015,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_15,fixed_20,39.930156,73.089424,33.159267,27.093495,40.037520,12.944025,12,4,0.750000,0.500000,0.080683,0.021625,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 11.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 11, ""strong_line"": 4.0, ""x15_multiplier"": 1.1}"
000530,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_20,fixed_20,32.997392,65.997483,33.000090,18.071441,51.226711,33.155270,20,6,0.750000,0.666667,0.041965,0.027633,24,0.300000,"{""big_bull_line"": 7.5, ""max_close_ret"": 9.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 13, ""strong_line"": 3.0, ""x15_multiplier"": 1.0}"
002485,gs_pullback_confirm,replace,passes_adoption_guardrails,strict,local_optuna_t24_vsplit,fixed_30,fixed_30,51.587474,84.461577,32.874103,-14.947149,68.707571,83.654719,11,3,1.000000,1.000000,0.102082,0.052000,24,0.300000,"{""ma_pull_high"": 1.0, ""ma_pull_low"": 0.78, ""maxlen_max"": 10, ""maxrun_max"": 8, ""rate_min"": 45, ""sellpct_max"": 50}"
600120,volume_base_breakout,replace,passes_adoption_guardrails,long_quiet_box,local_optuna_t24_vsplit,fixed_5,fixed_5,48.673346,81.532568,32.859223,6.157881,46.978144,40.820263,9,3,0.777778,0.666667,0.045333,0.025300,24,0.300000,"{""amount_spike_ratio"": 2.0, ""base_ceiling"": 1.5, ""base_floor"": 0.84, ""base_max_days"": 65, ""base_min_days"": 35, ""base_range_max"": 0.27, ""breakout_max_extension"": 1.11, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.55, ""signal_cooldown_days"": 9, ""spike_lookback"": 120, ""spike_ratio"": 2.4, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 1.05}"
301195,activity_breakout,replace,passes_adoption_guardrails,classic_capped,local_optuna_t24_vsplit,fixed_15,fixed_60,34.182116,66.969824,32.787708,27.002420,45.015640,18.013221,10,3,0.700000,0.666667,0.049930,0.025900,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 12.0, ""min_close_ret"": -0.5, ""signal_cooldown_days"": 13, ""strong_line"": 3.0, ""x15_multiplier"": 1.0}"
603307,gs_pullback_confirm,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_60,fixed_60,50.060665,82.807438,32.746773,2.983243,41.461683,38.478440,10,3,0.900000,0.666667,0.081590,0.018433,24,0.300000,"{""ma_pull_high"": 0.99, ""ma_pull_low"": 0.8600000000000001, ""maxlen_max"": 20, ""maxrun_max"": 12, ""rate_min"": 35, ""sellpct_max"": 75}"
002216,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,formula_exit_or_20,formula_exit_or_20,49.197285,81.896195,32.698910,45.310900,75.074855,29.763955,10,3,0.600000,1.000000,0.060710,0.063133,24,0.300000,"{""big_bull_line"": 7.5, ""max_close_ret"": 10.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 14, ""strong_line"": 4.0, ""x15_multiplier"": 1.2}"
600969,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_30,fixed_10,44.231585,76.714685,32.483100,17.753456,70.130197,52.376741,15,4,0.800000,0.750000,0.073547,0.083750,24,0.300000,"{""big_bull_line"": 7.5, ""max_close_ret"": 8.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 13, ""strong_line"": 3.0, ""x15_multiplier"": 1.1}"
002453,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,formula_exit_or_5,fixed_5,36.768488,68.737469,31.968981,40.884847,69.983330,29.098483,22,7,0.681818,0.714286,0.049073,0.089357,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 14.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 11, ""strong_line"": 4.0, ""x15_multiplier"": 1.1}"
601117,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_15,fixed_10,47.345556,79.307994,31.962439,43.655721,54.496806,10.841085,9,3,0.777778,0.666667,0.046411,0.033700,24,0.300000,"{""big_bull_line"": 7.5, ""max_close_ret"": 13.0, ""min_close_ret"": -0.5, ""signal_cooldown_days"": 12, ""strong_line"": 2.5, ""x15_multiplier"": 1.0}"
600221,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,formula_exit_or_10,formula_exit_or_10,49.119854,80.949782,31.829927,27.014349,35.844113,8.829764,12,4,0.666667,0.500000,0.073050,0.010775,24,0.300000,"{""big_bull_line"": 6.0, ""max_close_ret"": 9.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 6, ""strong_line"": 3.0, ""x15_multiplier"": 1.0}"
