stock_code,strategy_id,formula_id,display_name,best_holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,effectiveness_score,effectiveness_label,untradable_rate,completion_rate,best_sell_rule,best_sell_rule_score,params
603657,formula_gs_raw_buy,gs_raw_buy,GS原始买点,60,31,0.580645,0.080148,-0.141545,0.566239,0.000000,退化中,0.000000,1.000000,fixed_60,65.250550,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
603657,formula_ma_base_breakout,ma_base_breakout,均线筑底突破,30,2,1.000000,0.021750,-0.080050,,,样本不足,0.000000,1.000000,fixed_30,51.075808,"{""below_days_min"": 60, ""long_ma"": 180, ""ma5_rising_min"": 10, ""mid_ma"": 120, ""price_top_buffer"": 1.03, ""short_ma"": 8}"
603657,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,60,1,1.000000,0.373700,-0.122000,,,样本不足,0.000000,1.000000,fixed_60,75.894433,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
603658,formula_activity_breakout,activity_breakout,活跃度大牛突破,5,47,0.489362,0.020917,-0.018523,1.129221,0.000000,稳定/不明显,0.042600,1.000000,formula_exit_or_5,50.359936,{}
603658,formula_gs_raw_buy,gs_raw_buy,GS原始买点,5,34,0.558824,0.014885,-0.023335,0.637888,0.000000,退化中,0.000000,1.000000,fixed_5,47.396791,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
603658,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,10,3,0.666667,0.035667,-0.024600,,,样本不足,0.000000,1.000000,formula_exit_or_10,56.240374,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
603659,formula_activity_breakout,activity_breakout,活跃度大牛突破,5,52,0.500000,0.012250,-0.025713,0.476404,15.700000,稳定/不明显,0.019200,1.000000,formula_exit_or_5,43.314713,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
603659,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,15,4,1.000000,0.134200,-0.027800,,,样本不足,0.000000,1.000000,fixed_15,87.953709,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
603659,formula_gs_raw_buy,gs_raw_buy,GS原始买点,5,35,0.685714,0.015383,-0.032517,0.473069,59.500000,改善观察,0.028600,1.000000,formula_exit_or_5,50.342489,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
603659,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,15,2,1.000000,0.180150,-0.038450,,,样本不足,0.000000,1.000000,fixed_15,83.842282,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
